no;state;year;dpd_1;dpd_2;dpd;dpd_3;dpd_4
150;GEORGIA;1983;28996.86;70436.24;71485;2279.5;7.5
151;GEORGIA;1984;29702.75;71624.33;78797;2448.7;6
152;GEORGIA;1985;30068.26;73979.66;83461;2569.8;6.5
153;GEORGIA;1986;30991.33;83458.28;88827;2672.4;5.9
154;IDAHO;1970;3410.22;9202.07;7175;207.8;5.8
155;IDAHO;1971;3579.67;9488.47;7255;217.1;6.3
156;IDAHO;1972;3676.22;9756.4;7898;236.5;6.2
157;IDAHO;1973;3737.66;10251.95;8352;251.7;5.6
158;IDAHO;1974;3813.94;10725.66;8970;266.8;6
159;IDAHO;1975;3942.37;11134.59;9099;273;6.2
160;IDAHO;1976;4105.58;12401.79;9709;291;5.7
161;IDAHO;1977;4255.84;12498.22;9967;307.4;6.1
162;IDAHO;1978;4398.05;12813.38;10828;331.3;5.6
163;IDAHO;1979;4522.19;13264.09;10924;338;5.6
164;IDAHO;1980;4605.7;13771.17;11002;330;7.9
165;IDAHO;1981;4667.31;13808.97;10959;327.8;7.5
166;IDAHO;1982;4699.95;14020.3;10432;312.2;9.9
167;IDAHO;1983;4710.03;14028.64;10879;317.9;9.8
168;IDAHO;1984;4769.76;14049.02;11262;330.5;7.2
169;IDAHO;1985;4819.32;14290.67;11815;336;8
170;IDAHO;1986;4890.92;13612.16;11672;328.2;8.7
171;ILLINOIS;1970;52197.49;114860.83;145792;4345.6;4.1
172;ILLINOIS;1971;53805.62;119783.11;148503;4296.4;5.1
173;ILLINOIS;1972;55540.36;124239.59;154413;4314.8;5.1
174;ILLINOIS;1973;57288.3;129514.1;163125;4466.9;4.1
175;ILLINOIS;1974;58984.18;136292.35;161725;4545.7;4.5
176;ILLINOIS;1975;60139.25;142558.62;157366;4418.9;7.1
177;ILLINOIS;1976;61104.4;140831.43;163112;4565.7;6.5
178;ILLINOIS;1977;62200.83;146285.62;168627;4655.5;6.2
179;ILLINOIS;1978;63096.48;150855.46;173767;4788.8;6
180;ILLINOIS;1979;63642.81;156751.98;173817;4880;5.5
181;ILLINOIS;1980;64003.03;163355.48;165722;4850.3;8.3
182;ILLINOIS;1981;64549.3;150688.85;166029;4732.3;8.5
183;ILLINOIS;1982;65064.2;154806.13;159778;4593.3;11
184;ILLINOIS;1983;64751.99;157095.8;160856;4530.6;11
185;ILLINOIS;1984;64460.25;159388;173602;4672.3;9.1
186;ILLINOIS;1985;64487.38;164794.5;178493;4755.3;9
187;ILLINOIS;1986;64726.05;161198.99;183849;4790.7;8.1
188;INDIANA;1970;20813.65;63646.79;56769;1849;5
189;INDIANA;1971;21665.6;65528.57;58540;1841.1;5.7
190;INDIANA;1972;22368.04;67722.97;61613;1921.9;4.5
191;INDIANA;1973;23230.94;70189.83;66534;2028.1;4.2
192;INDIANA;1974;23652.3;73448.9;64313;2031.4;5.9
193;INDIANA;1975;23945.55;76823.26;61200;1941.7;8.6
194;INDIANA;1976;24259.12;74736.15;65479;2023.8;6.1
195;INDIANA;1977;24506.31;77477.95;68832;2114;5.7
196;INDIANA;1978;24639.62;79763.07;71717;2205.5;5.7
197;INDIANA;1979;24744.99;82742.13;72047;2236.3;6.4
198;INDIANA;1980;24799.68;86012.21;67930;2129.5;9.6
199;INDIANA;1981;24976.64;80364.43;68135;2114.4;10
200;INDIANA;1982;25108.79;82361.44;64042;2028;12
201;INDIANA;1983;24983.98;83359.59;65211;2029.5;11
202;INDIANA;1984;24835.6;83946.98;70975;2122.3;8.6
203;INDIANA;1985;24905.94;85849.71;73392;2168.6;7.9
204;INDIANA;1986;24924.85;87053.98;75924;2221.8;6.8
205;IOWA;1970;14728.51;33400.46;29173;876.9;3.7
206;IOWA;1971;15311.03;34819.44;29312;882.7;4.2
207;IOWA;1972;15657.48;35846.9;31159;912.3;3.6
208;IOWA;1973;16006.47;37693.89;33798;961.3;2.9
209;IOWA;1974;16159.2;39460.57;33591;999;3
210;IOWA;1975;16414.32;41068.52;34378;998.7;4.3
211;IOWA;1976;16766.52;43868.88;35752;1036.9;4
212;IOWA;1977;17166.76;46649.69;37277;1079.2;4
213;IOWA;1978;17407.43;47977.54;39087;1119.2;4
214;IOWA;1979;17722.68;49653.76;39863;1131.7;4.1
215;IOWA;1980;17928.92;51530.31;38919;1109.9;5.8
216;IOWA;1981;18050.52;47985.77;40630;1088.6;6.9
217;IOWA;1982;18141.76;48698.55;37634;1041.9;8.5
218;IOWA;1983;18240.5;48731.5;35937;1040.4;8.1
219;IOWA;1984;18203.48;48741.81;38704;1074.7;7
220;IOWA;1985;18288.61;49781.83;39344;1074.2;8
221;IOWA;1986;18436.18;43209.95;40425;1073.8;7
222;KANSAS;1970;11115.57;33207.74;26311;678.8;4.8
223;KANSAS;1971;11595.03;34117.09;26950;677.8;5.5
224;KANSAS;1972;11854.06;34862.71;28330;717.5;4
225;KANSAS;1973;12137.4;36179.12;29486;763.3;3.1
226;KANSAS;1974;12412.46;37588.65;29506;790;3.5
227;KANSAS;1975;12792.34;38828.22;29530;801.2;4.6
228;KANSAS;1976;13023.89;41282.58;30655;834.8;4.2
229;KANSAS;1977;13386.6;41246.04;31032;871;4.1
230;KANSAS;1978;13726.24;42277.86;32232;912.5;3
231;KANSAS;1979;14157.68;43689.61;33680;946.8;3.4
232;KANSAS;1980;14479.94;45281.71;32844;944.7;4.5
233;KANSAS;1981;14855.02;47858.83;33707;949.7;4.2
234;KANSAS;1982;15082.15;49569.38;33287;921.4;6.3
235;KANSAS;1983;15062.88;49688.66;33638;921.6;6.1
236;KANSAS;1984;15116.06;49959.27;35582;960.8;5.2
237;KANSAS;1985;15145.49;51037.85;36560;967.9;5
238;KANSAS;1986;15216.66;51347.26;37783;984.8;5.4
239;KENTUCKY;1970;16035.09;30525.64;32182;910.1;5
240;KENTUCKY;1971;16706.92;31822.72;33276;931.5;5.5
241;KENTUCKY;1972;17169.23;32994.5;35351;988.3;4.8
242;KENTUCKY;1973;17697.13;34039.58;37305;1038.6;4.4
243;KENTUCKY;1974;18263.75;35741.89;37458;1065.9;4.5
244;KENTUCKY;1975;18624.45;37366.28;36717;1057.6;7.3
245;KENTUCKY;1976;18945.26;41587.55;39138;1103.1;5.6
246;KENTUCKY;1977;19294.6;42985.92;41137;1148.3;4.7
247;KENTUCKY;1978;19572.86;44402.66;43098;1209.9;5.2
248;KENTUCKY;1979;19948.68;46082.95;44188;1245.4;5.6
249;KENTUCKY;1980;20585.01;47878.44;42637;1210;8
250;KENTUCKY;1981;21116.39;47983.96;43595;1196;8.4
251;KENTUCKY;1982;21308.34;49141.96;42286;1160.7;11
252;KENTUCKY;1983;21162.34;49720.78;42668;1152.3;12
253;KENTUCKY;1984;21032.34;50066.78;45998;1213.8;9.3
254;KENTUCKY;1985;21052.49;51135.28;46753;1250.3;9.5
255;KENTUCKY;1986;20959.34;51911.38;47502;1274.1;9.3
256;LOUISIANA;1970;19638.31;97802.38;62666;1033.6;6.6
257;LOUISIANA;1971;20066.64;99483.9;64851;1055.9;7
258;LOUISIANA;1972;20887.68;100299.59;67439;1128.6;6.1
259;LOUISIANA;1973;21408.2;101336.45;67100;1176.1;6
260;LOUISIANA;1974;21787.15;103761.88;64919;1220.8;6.7
261;LOUISIANA;1975;22175.86;106564.55;63128;1249.5;7.4
262;LOUISIANA;1976;22682.17;100358.47;66338;1314.4;6.8
263;LOUISIANA;1977;23389.41;102931.73;68209;1364.6;7
264;LOUISIANA;1978;24102.46;106574.97;72221;1463.5;7
265;LOUISIANA;1979;24446.12;111082.3;73681;1517.4;6.7
266;LOUISIANA;1980;24568.45;117127.42;75312;1578.9;6.7
267;LOUISIANA;1981;24789.76;117911.54;77342;1630.5;8.4
268;LOUISIANA;1982;25087;124453.54;75743;1607;10
269;LOUISIANA;1983;25422.96;128610.28;72535;1565.2;12
270;LOUISIANA;1984;25932.73;130129.72;75349;1601.5;10
271;LOUISIANA;1985;26477.79;133300.12;73777;1591.2;12
272;LOUISIANA;1986;26617.47;134624.42;68508;1518.5;13
273;MAINE;1970;3868.87;9305.13;8844;332.2;5.7
274;MAINE;1971;3999.86;9582.6;8958;332.3;7.6
275;MAINE;1972;4167.61;9906.21;9449;343.7;7
276;MAINE;1973;4272.26;10255.45;9949;354.8;5.9
277;MAINE;1974;4394.33;10747.95;9976;361.5;6.7
278;MAINE;1975;4529.86;11224.5;9672;356.9;10
279;MAINE;1976;4593.66;11017.15;10555;375.3;8.9
280;MAINE;1977;4662.84;11201.57;10916;387.8;8.4
281;MAINE;1978;4813.68;11494.06;11434;405.6;6.2
282;MAINE;1979;4931.13;11929.56;11765;415.9;7.2
283;MAINE;1980;4991.87;12404.6;11731;418.3;7.8
284;MAINE;1981;5009.05;11733.6;12013;419.2;7.2
285;MAINE;1982;4976.6;12095.07;12099;415.5;8.6
286;MAINE;1983;4952.99;12308.54;12813;425;9
287;MAINE;1984;4941.74;12475.82;13652;445.7;6.1
288;MAINE;1985;4942.55;12817.15;14238;458.4;5.4
289;MAINE;1986;4939.7;13919.23;15056;477.4;5.3
290;MARYLAND;1970;19145.01;29115.59;42971;1349.2;3.3
291;MARYLAND;1971;20023.61;30631.2;44111;1371.5;4.2
292;MARYLAND;1972;21126.69;31964.23;46121;1415;4.7
293;MARYLAND;1973;22060.79;33413.53;48728;1471.5;3.5
294;MARYLAND;1974;23017.84;35364.63;48514;1493.6;3.7
295;MARYLAND;1975;24189.5;37135.88;47751;1479.3;6.9
296;MARYLAND;1976;25322.85;35089.36;49228;1498.3;6.8
297;MARYLAND;1977;26238.15;35875.05;50507;1545.6;6.1
298;MARYLAND;1978;26910.22;37068.32;52317;1625.8;5.6
299;MARYLAND;1979;27644.44;38627.83;52804;1691.3;5.9
300;MARYLAND;1980;28081.96;40397.33;52361;1711.8;6.5
301;MARYLAND;1981;28715.84;40578.02;53231;1715.8;7.3
302;MARYLAND;1982;28850.43;41844.34;52583;1675.8;8.4
303;MARYLAND;1983;29101.83;42589.53;55323;1724.1;6.9
304;MARYLAND;1984;29214.12;43493.99;58925;1814;5.4
305;MARYLAND;1985;29451.52;45119.15;62179;1887.8;4.6
306;MARYLAND;1986;29577.46;49257.92;65408;1952;4.5
307;MASSACHUSETTS;1970;21923.28;37917.57;64429;2243.5;4.6
308;MASSACHUSETTS;1971;23177.83;39727.03;65276;2211.4;6.6
309;MASSACHUSETTS;1972;24385.09;41461.37;68096;2251.7;6.4
310;MASSACHUSETTS;1973;25765.21;43388.76;70876;2333.5;6.7
311;MASSACHUSETTS;1974;27100.33;45943.04;68955;2353.7;7.2
312;MASSACHUSETTS;1975;28204.28;48221.47;66448;2273.1;11
313;MASSACHUSETTS;1976;28752.82;45024.55;68467;2323.5;9.5
314;MASSACHUSETTS;1977;29171.97;46061.69;71258;2416;8.1
315;MASSACHUSETTS;1978;29202.12;47564.53;73575;2526.3;6.1
316;MASSACHUSETTS;1979;29455.5;49564.81;75180;2603.5;5.5
317;MASSACHUSETTS;1980;29999.21;51862.37;75289;2652.2;5.6
318;MASSACHUSETTS;1981;30166.12;54146.22;77490;2668.3;6.4
319;MASSACHUSETTS;1982;30190.87;55990.97;77166;2638;7.9
320;MASSACHUSETTS;1983;30221.77;57244.08;82489;2692.5;6.9
321;MASSACHUSETTS;1984;30352.69;58684.77;90684;2851.8;4.8
322;MASSACHUSETTS;1985;30497.51;61180.21;96698;2926;3.9
323;MASSACHUSETTS;1986;30795.56;69574.24;102279;2984.8;3.8
324;MICHIGAN;1970;44684.82;84755.95;102172;2999;6.7
325;MICHIGAN;1971;45993.77;87827.03;107116;2995;7.6
326;MICHIGAN;1972;46772.91;91039.26;113837;3118.9;7
327;MICHIGAN;1973;47923.55;94302.49;122991;3284.3;5.8
328;MICHIGAN;1974;48793.43;99072.42;115796;3277.6;8.7
329;MICHIGAN;1975;49789.59;103711.23;109217;3136.6;13
330;MICHIGAN;1976;50687.49;104330.83;119929;3283;9.4
331;MICHIGAN;1977;51302.34;106687.08;129279;3442.3;8.2
332;MICHIGAN;1978;51494.34;109995.68;135247;3609.4;6.9
333;MICHIGAN;1979;51707.36;114436.69;132845;3637.1;7.8
334;MICHIGAN;1980;51922.35;119398.08;121360;3442.8;12
335;MICHIGAN;1981;52276.4;112346.2;118356;3364.4;12
336;MICHIGAN;1982;51955.88;115911.34;108627;3193.3;16
337;MICHIGAN;1983;51305.62;118105.75;114259;3223.1;14
338;MICHIGAN;1984;50724.55;119778.97;123886;3381;11
339;MICHIGAN;1985;50392.79;123249.89;131417;3561.5;9.9
340;MICHIGAN;1986;49879.29;125148.83;136433;3657.3;8.8
341;MINNESOTA;1970;21948.43;43287.56;41734;1315.3;4.2
342;MINNESOTA;1971;23056.36;45132.89;42467;1310.2;4.4
343;MINNESOTA;1972;24023.53;46882.97;44123;1357.1;4.3
344;MINNESOTA;1973;24731.18;48841.94;47805;1436.1;4.4
345;MINNESOTA;1974;25333.93;51426.02;47482;1481;4.3
346;MINNESOTA;1975;25910.97;53798.39;46967;1474.4;5.9
347;MINNESOTA;1976;26485.99;49634.58;48795;1520.9;5.9
348;MINNESOTA;1977;27080.21;51784.08;51661;1597.3;5.1
349;MINNESOTA;1978;27464.67;53517.11;54138;1689.3;3.8
350;MINNESOTA;1979;27832.95;55679.83;56239;1767;4.2
351;MINNESOTA;1980;28055.27;58050.22;55874;1770.2;5.9
352;MINNESOTA;1981;28460.94;58041.33;56748;1761.3;5.5
353;MINNESOTA;1982;28590.72;59374.92;55919;1707.3;7.8
354;MINNESOTA;1983;28694.1;59871.42;57167;1718.4;8.2
355;MINNESOTA;1984;28718.02;60369.4;62730;1819.8;6.3
356;MINNESOTA;1985;28959.43;61935.21;65463;1864.8;6
357;MINNESOTA;1986;29241;60525.85;68117;1892.5;5.3
358;MISSISSIPPI;1970;10016.07;22569.14;17306;583.9;4.8
359;MISSISSIPPI;1971;10497.82;23557.96;18027;602.2;4.8
360;MISSISSIPPI;1972;10844.14;24157.5;19340;649.3;3.9
361;MISSISSIPPI;1973;11076.23;24473.04;20605;693.2;3.6
362;MISSISSIPPI;1974;11239.45;25485.57;20208;710.8;4.1
363;MISSISSIPPI;1975;11515.56;26426.83;20184;692.3;8.3
364;MISSISSIPPI;1976;11799.74;28130.16;22282;727.5;6.6
365;MISSISSIPPI;1977;12061.45;28447.98;23628;765.9;7.4
366;MISSISSIPPI;1978;12274.39;29243.06;24880;813.7;7.1
367;MISSISSIPPI;1979;12384.91;30326.78;25611;838.1;5.8
368;MISSISSIPPI;1980;12454.04;31541.4;25082;829.3;7.5
369;MISSISSIPPI;1981;12547.36;32193.92;26017;819.1;8.3
370;MISSISSIPPI;1982;12603.35;33198.66;25537;790.9;11
371;MISSISSIPPI;1983;12613.88;33751.34;25570;792.8;13
372;MISSISSIPPI;1984;12509.37;34052.06;27342;820.8;11
373;MISSISSIPPI;1985;12430.11;34822.24;27778;838.9;10
374;MISSISSIPPI;1986;12411.36;34116.19;27987;848.2;12
375;MISSOURI;1970;19464.98;43905.35;50196;1668;3.3
376;MISSOURI;1971;20393.17;46044.28;51945;1660.8;4.9
377;MISSOURI;1972;21288.19;47785.13;54198;1700.1;4.2
378;MISSOURI;1973;22079.1;49585.63;56789;1770.6;3.7
379;MISSOURI;1974;22475.35;52270.92;55056;1789.5;4.5
380;MISSOURI;1975;22839.32;54632.86;53932;1740.6;6.2
381;MISSOURI;1976;23032.56;54083.75;57183;1797.8;6.2
382;MISSOURI;1977;23236.14;55279.22;60424;1861.8;5.9
383;MISSOURI;1978;23393.53;56916.63;63375;1953.1;5
384;MISSOURI;1979;23545.2;59048.79;64333;2011.1;4.5
385;MISSOURI;1980;23670.64;61409.73;61574;1969.8;7.2
386;MISSOURI;1981;23947.15;61738.44;62540;1956.3;7.7
387;MISSOURI;1982;24084.48;63186.99;61226;1922.4;9.2
388;MISSOURI;1983;23957.04;63907.08;63655;1937;9.9
389;MISSOURI;1984;23782.61;64752.02;68490;2032.7;7.2
390;MISSOURI;1985;23761.7;66783.29;70830;2094.7;6.4
391;MISSOURI;1986;23855.97;68087.26;72629;2142.6;6.1
392;MONTANA;1970;4782.64;14320.39;7896;199.1;5.5
393;MONTANA;1971;4956.96;14461.39;7829;204.8;6.3
394;MONTANA;1972;5095.7;14730.06;8524;215.3;6.2
395;MONTANA;1973;5241.43;15347.47;8948;224.2;6.3
396;MONTANA;1974;5420.38;15871.08;9176;234;6.7
397;MONTANA;1975;5487.68;16347.55;9288;238.1;6.4
398;MONTANA;1976;5536.46;18140.99;9524;251.1;6.1
399;MONTANA;1977;5628.09;18199.92;9675;264.8;6.4
400;MONTANA;1978;5756.96;18653.37;10580;280.4;6.2
401;MONTANA;1979;5871.16;19264.06;10952;283.8;5.1
402;MONTANA;1980;5945.22;19941.84;11114;280.4;6.1
403;MONTANA;1981;6004.93;19265.48;11394;281.8;6.9
404;MONTANA;1982;6027.25;19724.98;11007;273.7;8.6
405;MONTANA;1983;5967.63;19877.97;10911;276;8.8
406;MONTANA;1984;5957.83;19888.7;10817;281.1;7.4
407;MONTANA;1985;6024.85;20199.1;10323;279.1;7.7
408;MONTANA;1986;6117.91;19414.55;10763;275.4;8.1
409;NEBRASKA;1970;9235.03;19160.51;16067;484.3;3.1
410;NEBRASKA;1971;9759.43;19747.34;16648;490.8;3.6
411;NEBRASKA;1972;10291.33;20268.79;17429;517;3.4
412;NEBRASKA;1973;10785.36;21324.54;18284;541.3;3.3
413;NEBRASKA;1974;11293.48;22286.74;18151;562.1;3.8
414;NEBRASKA;1975;11814.03;23106.64;18717;557.8;4.2
415;NEBRASKA;1976;12436.57;24592.23;19189;572.1;3.3
416;NEBRASKA;1977;12902.62;24992.27;19563;593.7;3.7
417;NEBRASKA;1978;13482.42;25629.4;20298;609.9;3
